"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","To celebrate my #Gala Launch #Dinner there will by a 20% #discount off all my #MotherEarthKimberley prints!… https://t.co/qG0koOojIX",FALSE,0,NA,2017-12-08 04:22:12,TRUE,NA,"938987046340665344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AHorth",0,FALSE,FALSE,NA,NA
"29","All set.  #nyc #newyork #dinner https://t.co/jYRgTkrH5Y https://t.co/ozFNIGGFKy",FALSE,1,NA,2017-12-08 03:59:27,FALSE,NA,"938981323049455616",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","WarrenMarenco",0,FALSE,FALSE,NA,NA
"30","RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…",FALSE,0,NA,2017-12-08 03:24:09,FALSE,NA,"938972440776015872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mariaortegon9",38,TRUE,FALSE,NA,NA
"31","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B2><ed><U+00A0><U+00BC><ed><U+00B7><U+00BD><ed><U+00A0><U+00BE><ed><U+00B4><U+00A4> #Mexican Night w/ Chef Matt Rojas! (12/19) #groupdinner #dinner #LES https://t.co/LZYbLIxiEX https://t.co/UKpPPuhosN",FALSE,1,NA,2017-12-08 03:00:03,FALSE,NA,"938966375112019969",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","omgitsbomb",0,FALSE,FALSE,NA,NA
"32","Thursday night dinner. 

#Chicken #Veggies #Woodside #Queens #NewYork #Dinner @ Maspeth, Queens https://t.co/3sXryWc2ZS",FALSE,0,NA,2017-12-08 01:57:24,FALSE,NA,"938950609759277056",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","silentwitnessny",0,FALSE,FALSE,"-73.9125","40.72305556"
"33","Easy to make zucchini, tomato and spinach hasselback chicken for #weeknight #dinner https://t.co/qfBjAMgFfo… https://t.co/EcZm94q9Py",FALSE,0,NA,2017-12-08 01:35:05,TRUE,NA,"938944992579645440",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","wineladyjo",0,FALSE,FALSE,NA,NA
"34","I cannot resist a #cassoulet. Just can't do it. buvettenyc #dinner #westvillage #eeeeeats… https://t.co/WYK0V8upZl",FALSE,0,NA,2017-12-08 01:34:21,FALSE,NA,"938944808990707713",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ginaway1",0,FALSE,FALSE,"-74.00437","40.73272"
"35","Weeknight homemade pad Thai with shrimp. Surprisingly easy #dinner https://t.co/pprgh7d5QM",FALSE,0,NA,2017-12-08 01:22:21,FALSE,NA,"938941789154824192",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lynnefunk",0,FALSE,FALSE,NA,NA
"36","26 #Casseroles for Cold Nights #winter #recipe #comfort #food #dinner #supper #meal #cooking https://t.co/hb3a5jyVEu #NYTCooking",FALSE,1,NA,2017-12-08 01:07:43,FALSE,NA,"938938104672595969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LynnsNYCSupper",0,FALSE,FALSE,NA,NA
"37","#dinner #brooklyn @ Jolie Cantina https://t.co/pdEhyCkMtj",FALSE,0,NA,2017-12-08 01:01:33,FALSE,NA,"938936551375065088",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","YaleGurney",0,FALSE,FALSE,"-73.99245","40.68361"
"38","RT @francisbonnet: Anti-social. #suburbanfairytales #funny #comicl #fairytales #dating #cartoon #threelittlepigs #dinner https://t.co/ovXwP…",FALSE,0,NA,2017-12-08 00:42:12,FALSE,NA,"938931685219094528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mbtoon05",2,TRUE,FALSE,NA,NA
"39","Is this #macandcheese with shrimp <ed><U+00A0><U+00BC><ed><U+00BD><U+00A4>?! Delicious ! #dinner #deliciousfood #eatlocal #thursday #beerbar #jerseycity… https://t.co/HyEFnEXlmj",FALSE,0,NA,2017-12-07 23:23:56,TRUE,NA,"938911988075331585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheIronMonkey",0,FALSE,FALSE,NA,NA
"40","I had so much fun last night with @chefcasella at his very special #prosciutto dinner at #chelsealocal in… https://t.co/FvOZifcg3x",FALSE,0,NA,2017-12-07 23:10:01,TRUE,NA,"938908484850110465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChefMariaLoi",1,FALSE,FALSE,NA,NA
"41","Our slaw and sauces make excellent additions to soups <ed><U+00A0><U+00BC><ed><U+00BD><U+00B2> #Soup #Dinner #Winter https://t.co/8YomUFVxWC",FALSE,1,NA,2017-12-07 22:30:27,FALSE,NA,"938898529099149312",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BAOFoodandDrink",0,FALSE,FALSE,NA,NA
"42","Burnt Carrots with Honey, Black Pepper, Butter &amp; Almonds. YUM! YUM!  #Dinner #SixSeasons https://t.co/BmGcM8iAwu https://t.co/eLoNtQzPIE",FALSE,0,NA,2017-12-07 22:30:05,FALSE,NA,"938898435218071552",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","WorkmanPub",0,FALSE,FALSE,NA,NA
"43","Dive in for #dinner or drop by for a #drink at any of our 5 locations: https://t.co/kriGaexgA7 https://t.co/hgXm6JXmoI",FALSE,1,NA,2017-12-07 22:21:03,FALSE,NA,"938896161112494080",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Prod2</a>","DosCaminos",0,FALSE,FALSE,NA,NA
"44","#hungry ? #dinner at #tiffany s #tiffanyandco #whomyouknow #rockyourbody #fashion #alert… https://t.co/fxmi2rKG9g",FALSE,0,NA,2017-12-07 21:31:11,FALSE,NA,"938883612719673344",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Manhattanpeachy",0,FALSE,FALSE,"-73.97368848","40.76264985"
"45","Ever wondered what the appropriate #attire is for #dinner cruises? Here's a helpful guide for you.… https://t.co/qoFXVBHHRx",FALSE,0,NA,2017-12-07 21:05:05,TRUE,NA,"938877042392752133",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Y4AS_NYC",0,FALSE,FALSE,NA,NA
"46","Which is your favorite #meal of the day? #BREAKFAST, #LUNCH or #DINNER? Tell me in the #comments… https://t.co/uXm8vAgwQc",FALSE,1,NA,2017-12-07 19:45:39,TRUE,NA,"938857054021791744",NA,"<a href=""http://sociviral.com"" rel=""nofollow"">Sociviral Application</a>","your_smmpro",0,FALSE,FALSE,NA,NA
